element_id,line_load,load_case,load_direction,load_group,group_name,eccentricity
1,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
1,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
2,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
2,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
3,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
3,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
4,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
4,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
5,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
5,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
6,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
6,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
7,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
7,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
8,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
8,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
9,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
9,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
10,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
10,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
11,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
11,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
12,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
12,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
13,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
13,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
14,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
14,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
15,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
15,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
16,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
16,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
17,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
17,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
18,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
18,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
19,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
19,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
20,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
20,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
21,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
21,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
22,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
22,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
23,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
23,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
24,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
24,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
25,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
25,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
26,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
26,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
27,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
27,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
28,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
28,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
29,0.088,WL_Ang15_Q2,LY,WL_Ang15_Q2,Deck Elements,6.0
29,-0.012,WL_Ang15_Q2,LX,WL_Ang15_Q2,Deck Elements,6.0
